"None","Points:0","Points:1","Points:2"
nan,5.0278e+05,3.9079e+06,2828
nan,5.0278e+05,3.9119e+06,2828
nan,5.0278e+05,3.9159e+06,2828
nan,5.0278e+05,3.9199e+06,2828
nan,5.0278e+05,3.9239e+06,2828
nan,5.0278e+05,3.9279e+06,2828
nan,5.0278e+05,3.9319e+06,2828
nan,5.0278e+05,3.9359e+06,2828
nan,5.0278e+05,3.9399e+06,2828
nan,5.0278e+05,3.9439e+06,2828
nan,5.0278e+05,3.9479e+06,2828
nan,5.0278e+05,3.9519e+06,2828
nan,5.0278e+05,3.9559e+06,2828
nan,5.0278e+05,3.9599e+06,2828
nan,5.0278e+05,3.9639e+06,2828
nan,5.0278e+05,3.9679e+06,2828
nan,5.0278e+05,3.9719e+06,2828
nan,5.0278e+05,3.9759e+06,2828
nan,5.0278e+05,3.9799e+06,2828
nan,5.0278e+05,3.9839e+06,2828
nan,5.0278e+05,3.9879e+06,2828
nan,5.0278e+05,3.9919e+06,2828
nan,5.0278e+05,3.9959e+06,2828
nan,5.0278e+05,3.9999e+06,2828
nan,5.0278e+05,4.0039e+06,2828
nan,5.0278e+05,4.0079e+06,2828
nan,5.0278e+05,4.0119e+06,2828
nan,5.0278e+05,4.0159e+06,2828
nan,5.0278e+05,4.0199e+06,2828
nan,5.0278e+05,4.0239e+06,2828
nan,5.0278e+05,4.0279e+06,2828
nan,5.0278e+05,4.0319e+06,2828
nan,5.0278e+05,4.0359e+06,2828
nan,5.0278e+05,4.0399e+06,2828
nan,5.0278e+05,4.0439e+06,2828
nan,5.0278e+05,4.0479e+06,2828
nan,5.0278e+05,4.0519e+06,2828
nan,5.0278e+05,4.0559e+06,2828
nan,5.0278e+05,4.0599e+06,2828
nan,5.0278e+05,4.0639e+06,2828
nan,5.0278e+05,4.0679e+06,2828
nan,5.0278e+05,4.0719e+06,2828
nan,5.0278e+05,4.0759e+06,2828
nan,5.0278e+05,4.0799e+06,2828
nan,5.0278e+05,4.0839e+06,2828
nan,5.0278e+05,4.0879e+06,2828
nan,5.0278e+05,4.0919e+06,2828
nan,5.0278e+05,4.0959e+06,2828
nan,5.0278e+05,3.8639e+06,5656
nan,5.0278e+05,3.8679e+06,5656
nan,5.0278e+05,3.8719e+06,5656
nan,5.0278e+05,3.8759e+06,5656
nan,5.0278e+05,3.8799e+06,5656
nan,5.0278e+05,3.8839e+06,5656
nan,5.0278e+05,3.8879e+06,5656
nan,5.0278e+05,3.8919e+06,5656
nan,5.0278e+05,3.8959e+06,5656
nan,5.0278e+05,3.8999e+06,5656
nan,5.0278e+05,3.9039e+06,5656
nan,5.0278e+05,3.9079e+06,5656
nan,5.0278e+05,3.9119e+06,5656
nan,5.0278e+05,3.9159e+06,5656
nan,5.0278e+05,3.9199e+06,5656
nan,5.0278e+05,3.9239e+06,5656
nan,5.0278e+05,3.9279e+06,5656
nan,5.0278e+05,3.9319e+06,5656
nan,5.0278e+05,3.9359e+06,5656
nan,5.0278e+05,3.9399e+06,5656
nan,5.0278e+05,3.9439e+06,5656
nan,5.0278e+05,3.9479e+06,5656
nan,5.0278e+05,3.9519e+06,5656
nan,5.0278e+05,3.9559e+06,5656
nan,5.0278e+05,3.9599e+06,5656
nan,5.0278e+05,3.9639e+06,5656
nan,5.0278e+05,3.9679e+06,5656
nan,5.0278e+05,3.9719e+06,5656
nan,5.0278e+05,3.9759e+06,5656
nan,5.0278e+05,3.9799e+06,5656
nan,5.0278e+05,3.9839e+06,5656
nan,5.0278e+05,3.9879e+06,5656
nan,5.0278e+05,3.9919e+06,5656
nan,5.0278e+05,3.9959e+06,5656
nan,5.0278e+05,3.9999e+06,5656
nan,5.0278e+05,4.0039e+06,5656
nan,5.0278e+05,4.0079e+06,5656
nan,5.0278e+05,4.0119e+06,5656
nan,5.0278e+05,4.0159e+06,5656
nan,5.0278e+05,4.0199e+06,5656
nan,5.0278e+05,4.0239e+06,5656
nan,5.0278e+05,4.0279e+06,5656
nan,5.0278e+05,4.0319e+06,5656
nan,5.0278e+05,4.0359e+06,5656
nan,5.0278e+05,4.0399e+06,5656
nan,5.0278e+05,4.0439e+06,5656
nan,5.0278e+05,4.0479e+06,5656
nan,5.0278e+05,4.0519e+06,5656
nan,5.0278e+05,4.0559e+06,5656
nan,5.0278e+05,4.0599e+06,5656
nan,5.0278e+05,4.0639e+06,5656
nan,5.0278e+05,4.0679e+06,5656
nan,5.0278e+05,4.0719e+06,5656
nan,5.0278e+05,4.0759e+06,5656
nan,5.0278e+05,4.0799e+06,5656
nan,5.0278e+05,4.0839e+06,5656
nan,5.0278e+05,4.0879e+06,5656
nan,5.0278e+05,4.0919e+06,5656
nan,5.0278e+05,4.0959e+06,5656
63.994,5.5278e+05,3.8639e+06,-1.9513e+05
63.908,5.5278e+05,3.8679e+06,-1.9513e+05
63.887,5.5278e+05,3.8719e+06,-1.9513e+05
63.969,5.5278e+05,3.8759e+06,-1.9513e+05
64.161,5.5278e+05,3.8799e+06,-1.9513e+05
64.503,5.5278e+05,3.8839e+06,-1.9513e+05
65.027,5.5278e+05,3.8879e+06,-1.9513e+05
65.761,5.5278e+05,3.8919e+06,-1.9513e+05
66.746,5.5278e+05,3.8959e+06,-1.9513e+05
67.883,5.5278e+05,3.8999e+06,-1.9513e+05
68.739,5.5278e+05,3.9039e+06,-1.9513e+05
68.644,5.5278e+05,3.9079e+06,-1.9513e+05
63.97,5.5278e+05,3.9119e+06,-1.9513e+05
48.3,5.5278e+05,3.9159e+06,-1.9513e+05
27.144,5.5278e+05,3.9199e+06,-1.9513e+05
10.019,5.5278e+05,3.9239e+06,-1.9513e+05
5.49,5.5278e+05,3.9279e+06,-1.9513e+05
17.239,5.5278e+05,3.9319e+06,-1.9513e+05
49.053,5.5278e+05,3.9359e+06,-1.9513e+05
68.843,5.5278e+05,3.9399e+06,-1.9513e+05
92.898,5.5278e+05,3.9439e+06,-1.9513e+05
100,5.5278e+05,3.9479e+06,-1.9513e+05
100,5.5278e+05,3.9519e+06,-1.9513e+05
100,5.5278e+05,3.9559e+06,-1.9513e+05
100,5.5278e+05,3.9599e+06,-1.9513e+05
100,5.5278e+05,3.9639e+06,-1.9513e+05
100,5.5278e+05,3.9679e+06,-1.9513e+05
100,5.5278e+05,3.9719e+06,-1.9513e+05
100,5.5278e+05,3.9759e+06,-1.9513e+05
98.106,5.5278e+05,3.9799e+06,-1.9513e+05
95.265,5.5278e+05,3.9839e+06,-1.9513e+05
88.162,5.5278e+05,3.9879e+06,-1.9513e+05
74.777,5.5278e+05,3.9919e+06,-1.9513e+05
67.212,5.5278e+05,3.9959e+06,-1.9513e+05
63.509,5.5278e+05,3.9999e+06,-1.9513e+05
61.362,5.5278e+05,4.0039e+06,-1.9513e+05
61.375,5.5278e+05,4.0079e+06,-1.9513e+05
61.381,5.5278e+05,4.0119e+06,-1.9513e+05
61.483,5.5278e+05,4.0159e+06,-1.9513e+05
61.8,5.5278e+05,4.0199e+06,-1.9513e+05
63.972,5.5278e+05,4.0239e+06,-1.9513e+05
70.131,5.5278e+05,4.0279e+06,-1.9513e+05
72.75,5.5278e+05,4.0319e+06,-1.9513e+05
60.237,5.5278e+05,4.0359e+06,-1.9513e+05
43.439,5.5278e+05,4.0399e+06,-1.9513e+05
32.367,5.5278e+05,4.0439e+06,-1.9513e+05
24.899,5.5278e+05,4.0479e+06,-1.9513e+05
22.878,5.5278e+05,4.0519e+06,-1.9513e+05
24.735,5.5278e+05,4.0559e+06,-1.9513e+05
26.841,5.5278e+05,4.0599e+06,-1.9513e+05
29.086,5.5278e+05,4.0639e+06,-1.9513e+05
31.106,5.5278e+05,4.0679e+06,-1.9513e+05
32.68,5.5278e+05,4.0719e+06,-1.9513e+05
33.93,5.5278e+05,4.0759e+06,-1.9513e+05
34.95,5.5278e+05,4.0799e+06,-1.9513e+05
35.792,5.5278e+05,4.0839e+06,-1.9513e+05
36.477,5.5278e+05,4.0879e+06,-1.9513e+05
37.028,5.5278e+05,4.0919e+06,-1.9513e+05
37.448,5.5278e+05,4.0959e+06,-1.9513e+05
64.404,5.5278e+05,3.8639e+06,-1.923e+05
64.111,5.5278e+05,3.8679e+06,-1.923e+05
63.816,5.5278e+05,3.8719e+06,-1.923e+05
63.628,5.5278e+05,3.8759e+06,-1.923e+05
63.622,5.5278e+05,3.8799e+06,-1.923e+05
63.819,5.5278e+05,3.8839e+06,-1.923e+05
64.342,5.5278e+05,3.8879e+06,-1.923e+05
65.15,5.5278e+05,3.8919e+06,-1.923e+05
66.214,5.5278e+05,3.8959e+06,-1.923e+05
67.51,5.5278e+05,3.8999e+06,-1.923e+05
68.672,5.5278e+05,3.9039e+06,-1.923e+05
69.487,5.5278e+05,3.9079e+06,-1.923e+05
68.372,5.5278e+05,3.9119e+06,-1.923e+05
58.539,5.5278e+05,3.9159e+06,-1.923e+05
39.247,5.5278e+05,3.9199e+06,-1.923e+05
18.924,5.5278e+05,3.9239e+06,-1.923e+05
8.379,5.5278e+05,3.9279e+06,-1.923e+05
22.558,5.5278e+05,3.9319e+06,-1.923e+05
50.839,5.5278e+05,3.9359e+06,-1.923e+05
84.228,5.5278e+05,3.9399e+06,-1.923e+05
97.987,5.5278e+05,3.9439e+06,-1.923e+05
100,5.5278e+05,3.9479e+06,-1.923e+05
100,5.5278e+05,3.9519e+06,-1.923e+05
100,5.5278e+05,3.9559e+06,-1.923e+05
100,5.5278e+05,3.9599e+06,-1.923e+05
100,5.5278e+05,3.9639e+06,-1.923e+05
100,5.5278e+05,3.9679e+06,-1.923e+05
100,5.5278e+05,3.9719e+06,-1.923e+05
100,5.5278e+05,3.9759e+06,-1.923e+05
100,5.5278e+05,3.9799e+06,-1.923e+05
100,5.5278e+05,3.9839e+06,-1.923e+05
97.901,5.5278e+05,3.9879e+06,-1.923e+05
91.835,5.5278e+05,3.9919e+06,-1.923e+05
86.187,5.5278e+05,3.9959e+06,-1.923e+05
74.812,5.5278e+05,3.9999e+06,-1.923e+05
71.642,5.5278e+05,4.0039e+06,-1.923e+05
73.323,5.5278e+05,4.0079e+06,-1.923e+05
69.752,5.5278e+05,4.0119e+06,-1.923e+05
67.915,5.5278e+05,4.0159e+06,-1.923e+05
65.193,5.5278e+05,4.0199e+06,-1.923e+05
68.707,5.5278e+05,4.0239e+06,-1.923e+05
74.962,5.5278e+05,4.0279e+06,-1.923e+05
77.238,5.5278e+05,4.0319e+06,-1.923e+05
67.287,5.5278e+05,4.0359e+06,-1.923e+05
50.157,5.5278e+05,4.0399e+06,-1.923e+05
34.978,5.5278e+05,4.0439e+06,-1.923e+05
27.507,5.5278e+05,4.0479e+06,-1.923e+05
25.005,5.5278e+05,4.0519e+06,-1.923e+05
26.494,5.5278e+05,4.0559e+06,-1.923e+05
28.194,5.5278e+05,4.0599e+06,-1.923e+05
30.45,5.5278e+05,4.0639e+06,-1.923e+05
31.716,5.5278e+05,4.0679e+06,-1.923e+05
33.072,5.5278e+05,4.0719e+06,-1.923e+05
34.401,5.5278e+05,4.0759e+06,-1.923e+05
35.153,5.5278e+05,4.0799e+06,-1.923e+05
35.954,5.5278e+05,4.0839e+06,-1.923e+05
36.604,5.5278e+05,4.0879e+06,-1.923e+05
37.116,5.5278e+05,4.0919e+06,-1.923e+05
37.53,5.5278e+05,4.0959e+06,-1.923e+05
65.342,5.5278e+05,3.8639e+06,-1.8948e+05
64.582,5.5278e+05,3.8679e+06,-1.8948e+05
63.891,5.5278e+05,3.8719e+06,-1.8948e+05
63.328,5.5278e+05,3.8759e+06,-1.8948e+05
63.033,5.5278e+05,3.8799e+06,-1.8948e+05
63.042,5.5278e+05,3.8839e+06,-1.8948e+05
63.369,5.5278e+05,3.8879e+06,-1.8948e+05
64.244,5.5278e+05,3.8919e+06,-1.8948e+05
65.206,5.5278e+05,3.8959e+06,-1.8948e+05
66.623,5.5278e+05,3.8999e+06,-1.8948e+05
68.396,5.5278e+05,3.9039e+06,-1.8948e+05
70.131,5.5278e+05,3.9079e+06,-1.8948e+05
71.49,5.5278e+05,3.9119e+06,-1.8948e+05
69.786,5.5278e+05,3.9159e+06,-1.8948e+05
58.451,5.5278e+05,3.9199e+06,-1.8948e+05
46.563,5.5278e+05,3.9239e+06,-1.8948e+05
40.499,5.5278e+05,3.9279e+06,-1.8948e+05
45.982,5.5278e+05,3.9319e+06,-1.8948e+05
63.721,5.5278e+05,3.9359e+06,-1.8948e+05
90.145,5.5278e+05,3.9399e+06,-1.8948e+05
100,5.5278e+05,3.9439e+06,-1.8948e+05
100,5.5278e+05,3.9479e+06,-1.8948e+05
99.748,5.5278e+05,3.9519e+06,-1.8948e+05
99.085,5.5278e+05,3.9559e+06,-1.8948e+05
98.292,5.5278e+05,3.9599e+06,-1.8948e+05
97.816,5.5278e+05,3.9639e+06,-1.8948e+05
97.518,5.5278e+05,3.9679e+06,-1.8948e+05
97.376,5.5278e+05,3.9719e+06,-1.8948e+05
97.324,5.5278e+05,3.9759e+06,-1.8948e+05
97.38,5.5278e+05,3.9799e+06,-1.8948e+05
97.552,5.5278e+05,3.9839e+06,-1.8948e+05
97.92,5.5278e+05,3.9879e+06,-1.8948e+05
96.408,5.5278e+05,3.9919e+06,-1.8948e+05
94.572,5.5278e+05,3.9959e+06,-1.8948e+05
88.985,5.5278e+05,3.9999e+06,-1.8948e+05
87.205,5.5278e+05,4.0039e+06,-1.8948e+05
88.81,5.5278e+05,4.0079e+06,-1.8948e+05
85.442,5.5278e+05,4.0119e+06,-1.8948e+05
73.912,5.5278e+05,4.0159e+06,-1.8948e+05
71.689,5.5278e+05,4.0199e+06,-1.8948e+05
71.842,5.5278e+05,4.0239e+06,-1.8948e+05
72.265,5.5278e+05,4.0279e+06,-1.8948e+05
79.695,5.5278e+05,4.0319e+06,-1.8948e+05
77.183,5.5278e+05,4.0359e+06,-1.8948e+05
65.658,5.5278e+05,4.0399e+06,-1.8948e+05
47.753,5.5278e+05,4.0439e+06,-1.8948e+05
36.064,5.5278e+05,4.0479e+06,-1.8948e+05
29.91,5.5278e+05,4.0519e+06,-1.8948e+05
29.64,5.5278e+05,4.0559e+06,-1.8948e+05
30.012,5.5278e+05,4.0599e+06,-1.8948e+05
31.116,5.5278e+05,4.0639e+06,-1.8948e+05
32.788,5.5278e+05,4.0679e+06,-1.8948e+05
33.852,5.5278e+05,4.0719e+06,-1.8948e+05
34.809,5.5278e+05,4.0759e+06,-1.8948e+05
35.626,5.5278e+05,4.0799e+06,-1.8948e+05
36.158,5.5278e+05,4.0839e+06,-1.8948e+05
36.879,5.5278e+05,4.0879e+06,-1.8948e+05
37.216,5.5278e+05,4.0919e+06,-1.8948e+05
37.731,5.5278e+05,4.0959e+06,-1.8948e+05
65.934,5.5278e+05,3.8639e+06,-1.8665e+05
64.968,5.5278e+05,3.8679e+06,-1.8665e+05
64.062,5.5278e+05,3.8719e+06,-1.8665e+05
63.27,5.5278e+05,3.8759e+06,-1.8665e+05
62.711,5.5278e+05,3.8799e+06,-1.8665e+05
62.49,5.5278e+05,3.8839e+06,-1.8665e+05
62.711,5.5278e+05,3.8879e+06,-1.8665e+05
63.185,5.5278e+05,3.8919e+06,-1.8665e+05
64.203,5.5278e+05,3.8959e+06,-1.8665e+05
65.352,5.5278e+05,3.8999e+06,-1.8665e+05
67.166,5.5278e+05,3.9039e+06,-1.8665e+05
69.585,5.5278e+05,3.9079e+06,-1.8665e+05
71.916,5.5278e+05,3.9119e+06,-1.8665e+05
74.28,5.5278e+05,3.9159e+06,-1.8665e+05
74.339,5.5278e+05,3.9199e+06,-1.8665e+05
72.878,5.5278e+05,3.9239e+06,-1.8665e+05
67.887,5.5278e+05,3.9279e+06,-1.8665e+05
72.994,5.5278e+05,3.9319e+06,-1.8665e+05
83.121,5.5278e+05,3.9359e+06,-1.8665e+05
97.255,5.5278e+05,3.9399e+06,-1.8665e+05
99.77,5.5278e+05,3.9439e+06,-1.8665e+05
99.486,5.5278e+05,3.9479e+06,-1.8665e+05
99.001,5.5278e+05,3.9519e+06,-1.8665e+05
98.001,5.5278e+05,3.9559e+06,-1.8665e+05
96.556,5.5278e+05,3.9599e+06,-1.8665e+05
95.351,5.5278e+05,3.9639e+06,-1.8665e+05
94.318,5.5278e+05,3.9679e+06,-1.8665e+05
93.981,5.5278e+05,3.9719e+06,-1.8665e+05
94.187,5.5278e+05,3.9759e+06,-1.8665e+05
94.282,5.5278e+05,3.9799e+06,-1.8665e+05
94.775,5.5278e+05,3.9839e+06,-1.8665e+05
95.533,5.5278e+05,3.9879e+06,-1.8665e+05
95.612,5.5278e+05,3.9919e+06,-1.8665e+05
96.002,5.5278e+05,3.9959e+06,-1.8665e+05
96.225,5.5278e+05,3.9999e+06,-1.8665e+05
96.56,5.5278e+05,4.0039e+06,-1.8665e+05
96.298,5.5278e+05,4.0079e+06,-1.8665e+05
94.133,5.5278e+05,4.0119e+06,-1.8665e+05
86.722,5.5278e+05,4.0159e+06,-1.8665e+05
85.345,5.5278e+05,4.0199e+06,-1.8665e+05
83.676,5.5278e+05,4.0239e+06,-1.8665e+05
82.141,5.5278e+05,4.0279e+06,-1.8665e+05
81.357,5.5278e+05,4.0319e+06,-1.8665e+05
81.411,5.5278e+05,4.0359e+06,-1.8665e+05
73.725,5.5278e+05,4.0399e+06,-1.8665e+05
61.357,5.5278e+05,4.0439e+06,-1.8665e+05
46.688,5.5278e+05,4.0479e+06,-1.8665e+05
37.743,5.5278e+05,4.0519e+06,-1.8665e+05
32.816,5.5278e+05,4.0559e+06,-1.8665e+05
32.522,5.5278e+05,4.0599e+06,-1.8665e+05
32.483,5.5278e+05,4.0639e+06,-1.8665e+05
33.798,5.5278e+05,4.0679e+06,-1.8665e+05
34.56,5.5278e+05,4.0719e+06,-1.8665e+05
35.29,5.5278e+05,4.0759e+06,-1.8665e+05
35.719,5.5278e+05,4.0799e+06,-1.8665e+05
36.478,5.5278e+05,4.0839e+06,-1.8665e+05
36.967,5.5278e+05,4.0879e+06,-1.8665e+05
37.217,5.5278e+05,4.0919e+06,-1.8665e+05
37.62,5.5278e+05,4.0959e+06,-1.8665e+05
66.316,5.5278e+05,3.8639e+06,-1.8382e+05
65.315,5.5278e+05,3.8679e+06,-1.8382e+05
64.366,5.5278e+05,3.8719e+06,-1.8382e+05
63.445,5.5278e+05,3.8759e+06,-1.8382e+05
62.684,5.5278e+05,3.8799e+06,-1.8382e+05
62.143,5.5278e+05,3.8839e+06,-1.8382e+05
61.968,5.5278e+05,3.8879e+06,-1.8382e+05
62.202,5.5278e+05,3.8919e+06,-1.8382e+05
62.845,5.5278e+05,3.8959e+06,-1.8382e+05
64.013,5.5278e+05,3.8999e+06,-1.8382e+05
65.798,5.5278e+05,3.9039e+06,-1.8382e+05
68.497,5.5278e+05,3.9079e+06,-1.8382e+05
71.506,5.5278e+05,3.9119e+06,-1.8382e+05
75.577,5.5278e+05,3.9159e+06,-1.8382e+05
80.272,5.5278e+05,3.9199e+06,-1.8382e+05
85.133,5.5278e+05,3.9239e+06,-1.8382e+05
84.989,5.5278e+05,3.9279e+06,-1.8382e+05
84.025,5.5278e+05,3.9319e+06,-1.8382e+05
88.519,5.5278e+05,3.9359e+06,-1.8382e+05
96.074,5.5278e+05,3.9399e+06,-1.8382e+05
98.414,5.5278e+05,3.9439e+06,-1.8382e+05
97.172,5.5278e+05,3.9479e+06,-1.8382e+05
95.835,5.5278e+05,3.9519e+06,-1.8382e+05
95.445,5.5278e+05,3.9559e+06,-1.8382e+05
94.386,5.5278e+05,3.9599e+06,-1.8382e+05
93.339,5.5278e+05,3.9639e+06,-1.8382e+05
92.63,5.5278e+05,3.9679e+06,-1.8382e+05
91.977,5.5278e+05,3.9719e+06,-1.8382e+05
91.913,5.5278e+05,3.9759e+06,-1.8382e+05
92.265,5.5278e+05,3.9799e+06,-1.8382e+05
92.486,5.5278e+05,3.9839e+06,-1.8382e+05
93.271,5.5278e+05,3.9879e+06,-1.8382e+05
93.655,5.5278e+05,3.9919e+06,-1.8382e+05
94.443,5.5278e+05,3.9959e+06,-1.8382e+05
94.807,5.5278e+05,3.9999e+06,-1.8382e+05
94.947,5.5278e+05,4.0039e+06,-1.8382e+05
94.868,5.5278e+05,4.0079e+06,-1.8382e+05
94.606,5.5278e+05,4.0119e+06,-1.8382e+05
92.486,5.5278e+05,4.0159e+06,-1.8382e+05
89.28,5.5278e+05,4.0199e+06,-1.8382e+05
88.923,5.5278e+05,4.0239e+06,-1.8382e+05
84.386,5.5278e+05,4.0279e+06,-1.8382e+05
85.626,5.5278e+05,4.0319e+06,-1.8382e+05
81.116,5.5278e+05,4.0359e+06,-1.8382e+05
75.605,5.5278e+05,4.0399e+06,-1.8382e+05
66.793,5.5278e+05,4.0439e+06,-1.8382e+05
56.177,5.5278e+05,4.0479e+06,-1.8382e+05
45.73,5.5278e+05,4.0519e+06,-1.8382e+05
39.432,5.5278e+05,4.0559e+06,-1.8382e+05
35.92,5.5278e+05,4.0599e+06,-1.8382e+05
34.59,5.5278e+05,4.0639e+06,-1.8382e+05
35.12,5.5278e+05,4.0679e+06,-1.8382e+05
35.473,5.5278e+05,4.0719e+06,-1.8382e+05
35.68,5.5278e+05,4.0759e+06,-1.8382e+05
36.371,5.5278e+05,4.0799e+06,-1.8382e+05
36.574,5.5278e+05,4.0839e+06,-1.8382e+05
36.98,5.5278e+05,4.0879e+06,-1.8382e+05
37.316,5.5278e+05,4.0919e+06,-1.8382e+05
37.641,5.5278e+05,4.0959e+06,-1.8382e+05
67.735,5.5278e+05,3.8639e+06,-1.8099e+05
66.74,5.5278e+05,3.8679e+06,-1.8099e+05
65.74,5.5278e+05,3.8719e+06,-1.8099e+05
64.75,5.5278e+05,3.8759e+06,-1.8099e+05
63.857,5.5278e+05,3.8799e+06,-1.8099e+05
63.031,5.5278e+05,3.8839e+06,-1.8099e+05
62.469,5.5278e+05,3.8879e+06,-1.8099e+05
62.226,5.5278e+05,3.8919e+06,-1.8099e+05
62.419,5.5278e+05,3.8959e+06,-1.8099e+05
63.134,5.5278e+05,3.8999e+06,-1.8099e+05
64.545,5.5278e+05,3.9039e+06,-1.8099e+05
66.615,5.5278e+05,3.9079e+06,-1.8099e+05
69.99,5.5278e+05,3.9119e+06,-1.8099e+05
74.952,5.5278e+05,3.9159e+06,-1.8099e+05
81.348,5.5278e+05,3.9199e+06,-1.8099e+05
87.03,5.5278e+05,3.9239e+06,-1.8099e+05
87.981,5.5278e+05,3.9279e+06,-1.8099e+05
80.688,5.5278e+05,3.9319e+06,-1.8099e+05
78.054,5.5278e+05,3.9359e+06,-1.8099e+05
87.713,5.5278e+05,3.9399e+06,-1.8099e+05
91.665,5.5278e+05,3.9439e+06,-1.8099e+05
92.923,5.5278e+05,3.9479e+06,-1.8099e+05
92.337,5.5278e+05,3.9519e+06,-1.8099e+05
91.273,5.5278e+05,3.9559e+06,-1.8099e+05
90.06,5.5278e+05,3.9599e+06,-1.8099e+05
89.025,5.5278e+05,3.9639e+06,-1.8099e+05
88.225,5.5278e+05,3.9679e+06,-1.8099e+05
87.979,5.5278e+05,3.9719e+06,-1.8099e+05
88.23,5.5278e+05,3.9759e+06,-1.8099e+05
88.465,5.5278e+05,3.9799e+06,-1.8099e+05
89.137,5.5278e+05,3.9839e+06,-1.8099e+05
89.676,5.5278e+05,3.9879e+06,-1.8099e+05
90.472,5.5278e+05,3.9919e+06,-1.8099e+05
91.106,5.5278e+05,3.9959e+06,-1.8099e+05
91.487,5.5278e+05,3.9999e+06,-1.8099e+05
91.635,5.5278e+05,4.0039e+06,-1.8099e+05
91.652,5.5278e+05,4.0079e+06,-1.8099e+05
91.475,5.5278e+05,4.0119e+06,-1.8099e+05
90.651,5.5278e+05,4.0159e+06,-1.8099e+05
90.358,5.5278e+05,4.0199e+06,-1.8099e+05
88.84,5.5278e+05,4.0239e+06,-1.8099e+05
85.965,5.5278e+05,4.0279e+06,-1.8099e+05
83.492,5.5278e+05,4.0319e+06,-1.8099e+05
79.808,5.5278e+05,4.0359e+06,-1.8099e+05
74.882,5.5278e+05,4.0399e+06,-1.8099e+05
68.621,5.5278e+05,4.0439e+06,-1.8099e+05
63.379,5.5278e+05,4.0479e+06,-1.8099e+05
55.117,5.5278e+05,4.0519e+06,-1.8099e+05
47.08,5.5278e+05,4.0559e+06,-1.8099e+05
40.15,5.5278e+05,4.0599e+06,-1.8099e+05
37.203,5.5278e+05,4.0639e+06,-1.8099e+05
36.488,5.5278e+05,4.0679e+06,-1.8099e+05
36.704,5.5278e+05,4.0719e+06,-1.8099e+05
36.609,5.5278e+05,4.0759e+06,-1.8099e+05
36.842,5.5278e+05,4.0799e+06,-1.8099e+05
37.071,5.5278e+05,4.0839e+06,-1.8099e+05
37.53,5.5278e+05,4.0879e+06,-1.8099e+05
37.604,5.5278e+05,4.0919e+06,-1.8099e+05
38.014,5.5278e+05,4.0959e+06,-1.8099e+05
71.94,5.5278e+05,3.8639e+06,-1.7816e+05
70.937,5.5278e+05,3.8679e+06,-1.7816e+05
69.819,5.5278e+05,3.8719e+06,-1.7816e+05
68.81,5.5278e+05,3.8759e+06,-1.7816e+05
67.401,5.5278e+05,3.8799e+06,-1.7816e+05
66.252,5.5278e+05,3.8839e+06,-1.7816e+05
65.174,5.5278e+05,3.8879e+06,-1.7816e+05
64.3,5.5278e+05,3.8919e+06,-1.7816e+05
63.827,5.5278e+05,3.8959e+06,-1.7816e+05
63.915,5.5278e+05,3.8999e+06,-1.7816e+05
64.626,5.5278e+05,3.9039e+06,-1.7816e+05
66.15,5.5278e+05,3.9079e+06,-1.7816e+05
69.063,5.5278e+05,3.9119e+06,-1.7816e+05
74.411,5.5278e+05,3.9159e+06,-1.7816e+05
80.273,5.5278e+05,3.9199e+06,-1.7816e+05
87.403,5.5278e+05,3.9239e+06,-1.7816e+05
88.392,5.5278e+05,3.9279e+06,-1.7816e+05
83.238,5.5278e+05,3.9319e+06,-1.7816e+05
72.052,5.5278e+05,3.9359e+06,-1.7816e+05
69.633,5.5278e+05,3.9399e+06,-1.7816e+05
77.684,5.5278e+05,3.9439e+06,-1.7816e+05
81.343,5.5278e+05,3.9479e+06,-1.7816e+05
86.975,5.5278e+05,3.9519e+06,-1.7816e+05
87.963,5.5278e+05,3.9559e+06,-1.7816e+05
86.87,5.5278e+05,3.9599e+06,-1.7816e+05
85.82,5.5278e+05,3.9639e+06,-1.7816e+05
85.169,5.5278e+05,3.9679e+06,-1.7816e+05
84.713,5.5278e+05,3.9719e+06,-1.7816e+05
84.777,5.5278e+05,3.9759e+06,-1.7816e+05
84.981,5.5278e+05,3.9799e+06,-1.7816e+05
85.243,5.5278e+05,3.9839e+06,-1.7816e+05
85.784,5.5278e+05,3.9879e+06,-1.7816e+05
86.414,5.5278e+05,3.9919e+06,-1.7816e+05
87.403,5.5278e+05,3.9959e+06,-1.7816e+05
87.867,5.5278e+05,3.9999e+06,-1.7816e+05
87.752,5.5278e+05,4.0039e+06,-1.7816e+05
88.201,5.5278e+05,4.0079e+06,-1.7816e+05
87.491,5.5278e+05,4.0119e+06,-1.7816e+05
87.313,5.5278e+05,4.0159e+06,-1.7816e+05
86.318,5.5278e+05,4.0199e+06,-1.7816e+05
84.139,5.5278e+05,4.0239e+06,-1.7816e+05
82.562,5.5278e+05,4.0279e+06,-1.7816e+05
79.515,5.5278e+05,4.0319e+06,-1.7816e+05
76.56,5.5278e+05,4.0359e+06,-1.7816e+05
71.968,5.5278e+05,4.0399e+06,-1.7816e+05
68.025,5.5278e+05,4.0439e+06,-1.7816e+05
64.381,5.5278e+05,4.0479e+06,-1.7816e+05
59.566,5.5278e+05,4.0519e+06,-1.7816e+05
53.271,5.5278e+05,4.0559e+06,-1.7816e+05
46.43,5.5278e+05,4.0599e+06,-1.7816e+05
